Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Dil Diya Dard Liya,-1966.0,169 min,"Drama, Musical, Romance",6.4,119,Abdul Rashid Kardar,Dilip Kumar,Dilip Kumar,Waheeda Rehman
Dil Diya Hai,-2006.0,121 min,"Drama, Romance, Thriller",3.5,473,Aditya Datt,Emraan Hashmi,Ashmit Patel,Geeta Basra
Dil Dosti Etc,-2007.0,112 min,"Comedy, Crime, Drama",7.0,"2,793",Manish Tiwary,Imaaduddin Shah,Shreyas Talpade,Smriti Mishra
Dil Ek Mandir,-1963.0,148 min,"Drama, Musical, Romance",6.7,129,C.V. Sridhar,Meena Kumari,Rajendra Kumar,Raaj Kumar
Dil Hai Betaab,-1993.0,157 min,"Action, Drama, Romance",3.1,114,K.C. Bokadia,Vivek Mushran,Ajay Devgn,Pratibha Sinha
Dil Hai Ki Manta Nahin,-1991.0,154 min,"Adventure, Comedy, Drama",7.3,"4,087",Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher
Dil Hai Tumhaara,-2002.0,185 min,"Drama, Romance",5.3,"1,720",Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry
Dil Hi To Hai,-1963.0,128 min,"Comedy, Drama, Romance",7.1,122,C.L. Rawal,P.L. Santoshi,Raj Kapoor,Nutan
Dil Hi To Hai,-1992.0,164 min,"Drama, Romance",5.1,102,Asrani,Divya Bharti,Gulshan Grover,Amjad Khan
Dil Jo Bhi Kahey...,-2005.0,144 min,"Drama, Romance",4.6,332,Romesh Sharma,Amitabh Bachchan,Revathi,Karan Sharma
Dil Jo Na Keh Saka,-2017.0,130 min,Romance,5.3,103,Naresh Lalwani,Himansh Kohli,Priya Banerjee,Bhuvnesh Mann
Dil Juunglee,-2018.0,124 min,"Comedy, Romance",3.7,417,Aleya Sen,Taapsee Pannu,Saqib Saleem,Nidhi Singh
Dil Ka Kya Kasoor,-1992.0,157 min,"Musical, Romance",5.7,191,Lawrence D'Souza,Prithvi,Divya Bharti,Sanam
Dil Ka Rishta,-2003.0,150 min,"Drama, Musical, Romance",4.8,"1,615",Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee
Dil Ka Sauda,-2014.0,136 min,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor
Dil Kabaddi,-2008.0,120 min,"Comedy, Drama",5.7,653,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna
Dil Ke Pechey Pechey',-2005.0,110 min,"Drama, Thriller",4.9,12,Gopal Malhotra,Ashutosh Rana,Divya Dutta,Abbas
Dil Ki Baazi,-1993.0,162 min,"Action, Drama",5.3,494,Anil Ganguly,Rakhee Gulzar,Avinash Wadhawan,Akshay Kumar
Dil Kya Kare,-1999.0,158 min,"Drama, Musical, Romance",5.1,"1,102",Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol
Dil Maange More!!!,-2004.0,123 min,"Musical, Romance",5.2,"1,808",Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi
Dil Ne Jise Apna Kaha,-2004.0,135 min,"Drama, Romance",4.4,"1,716",Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla
Dil Ne Pukara,-1967.0,173 min,"Drama, Romance",7.0,28,Mohan J. Bijlani,Shashi Kapoor,Sanjay Khan,Rajshree
Dil Pardesi Ho Gayaa,-2003.0,150 min,"Romance, Drama",4.8,91,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri
Dil Pe Mat Le Yaar!!,-2000.0,148 min,Drama,5.0,213,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla
Dil Sala Sanki,-2016.0,110 min,Romance,5.0,21,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill
Dil Se..,-1998.0,163 min,"Drama, Romance",7.6,"27,393",Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta
Dil Tera Aashiq,-1993.0,151 min,"Comedy, Drama, Romance",5.1,720,Lawrence D'Souza,Madhuri Dixit,Salman Khan,Kader Khan
Dil Tera Diwana,-1962.0,150 min,"Comedy, Romance",7.0,94,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood
Dil Tera Diwana,-1996.0,139 min,"Drama, Mystery",5.0,185,Lawrence D'Souza,Saif Ali Khan,Twinkle Khanna,Shatrughan Sinha
Dil to Pagal Hai,-1997.0,180 min,"Comedy, Drama, Musical",7.0,"21,182",Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor
Dil Toh Baccha Hai Ji,-2011.0,143 min,"Comedy, Drama, Romance",5.8,"3,723",Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya
Dil Toh Deewana Hai,-2016.0,135 min,"Drama, Romance",6.5,17,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj
Dil Tujhko Diya,-1987.0,127 min,Romance,5.0,22,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha
Dil Vil Pyar Vyar,-2002.0,150 min,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri
Dil... Akhir Dil Hai,-1982.0,216 min,Drama,5.5,15,Esmayeel Shroff,Rakhee Gulzar,Parveen Babi,Naseeruddin Shah
Dilbar,-1994.0,138 min,"Drama, Romance",3.8,21,B. Krishna Rao,Mamta Kulkarni,Rishikesh Raj,Nawaz Khan
Dildaar,-1977.0,165 min,"Action, Comedy, Drama",4.5,18,K. Bapaiah,Jeetendra,Rekha,Sujit Kumar
Dil-E-Nadan,-1953.0,142 min,Romance,6.7,10,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar
Diljalaa,-1987.0,140 min,"Action, Drama",5.1,23,Bapu,Jackie Shroff,Farha Naaz,Tanuja
Diljale,-1996.0,159 min,"Action, Drama, Romance",5.8,"1,559",Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri
Dil-Ki-Rani (Sweet-Heart),-1947.0,130 min,"Comedy, Romance",7.4,64,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder
Dillagi,-1999.0,188 min,"Drama, Musical, Romance",5.3,"1,076",Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar
Dillagi,-1966.0,146 min,"Comedy, Drama, Romance",6.3,18,S.N. Banerjee,Mala Sinha,Sanjay Khan,Nazima
Dilliwaali Zaalim Girlfriend,-2015.0,121 min,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu
Dilruba,-1950.0,123 min,"Crime, Drama, Mystery",7.1,30,Dwarka Khosla,Rehana,Dev Anand,Cuckoo
Dilwaala,-1986.0,160 min,"Action, Comedy, Drama",3.7,"1,134",K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri
Dilwale,-1994.0,172 min,"Action, Drama, Romance",5.7,"2,755",Harry Baweja,Ajay Devgn,Sunil Shetty,Raveena Tandon
Dilwale,-2015.0,158 min,"Action, Comedy, Drama",5.1,"32,366",Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Dilwale Dulhania Le Jayenge,-1995.0,181 min,"Drama, Romance",8.1,"65,134",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri
Dilwale Dulhaniya Le Jayenge,-1980.0,120 min,Romance,7.2,58,Rajendra Singh 'Atish',Beena Banerjee,Desh Gautam,Tariq Shah
Direct Ishq,-2016.0,130 min,"Action, Comedy, Romance",4.0,66,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani
Dirty Politics,-2015.0,130 min,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
Disco Dancer,-1982.0,135 min,"Drama, Musical, Romance",6.4,"1,291",Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer
Disha,-1990.0,135 min,"Comedy, Drama, Musical",7.0,145,Sai Paranjape,Shabana Azmi,Nana Patekar,Raghuvir Yadav
Dishkiyaoon,-2014.0,119 min,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
Dishoom,-2016.0,124 min,"Action, Adventure, Comedy",5.1,"7,100",Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
Divorce,-1984.0,133 min,"Romance, Drama",5.7,7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge
Divya Shakti,-1993.0,180 min,"Action, Drama",3.8,199,Sameer Malkan,Ajay Devgn,Raveena Tandon,Satyendra Kapoor
Diwana,-1967.0,171 min,"Drama, Romance",6.9,117,Mahesh Kaul,Raj Kapoor,Saira Banu,Lalita Pawar
Do Anjaane,-1976.0,155 min,Drama,6.9,421,Dulal Guha,Amitabh Bachchan,Rekha,Prem Chopra
Do Ankhen Barah Haath,-1957.0,143 min,"Comedy, Crime, Drama",8.4,"1,710",Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas
Do Aur Do Paanch,-1980.0,132 min,"Action, Comedy, Drama",7.0,954,Rakesh Kumar,Shashi Kapoor,Amitabh Bachchan,Hema Malini
Do Bhai,-1969.0,150 min,"Action, Crime, Drama",6.2,34,Brij,Ashok Kumar,Mala Sinha,Jeetendra
Do Bigha Zamin,-1953.0,131 min,Drama,8.4,"1,857",Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar
Do Boond Pani,-1971.0,141 min,"Action, Drama",6.3,15,Khwaja Ahmad Abbas,Jalal Agha,Simi Garewal,Kiran Kumar
Do Chehre,-2015.0,120 min,Action,5.3,20,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan
Do Dishayen,-1982.0,149 min,"Drama, Romance",6.0,20,Dulal Guha,Dharmendra,Shreeram Lagoo,Nirupa Roy
Do Dooni Chaar,-2010.0,112 min,"Comedy, Drama",7.5,"5,232",Habib Faisal,Rishi Kapoor,Neetu Singh,Aditi Vasudev
Do Dooni Char,-1968.0,135 min,"Comedy, Drama",7.2,66,Debu Sen,Kishore Kumar,Asit Kumar Sen,Surekha
Do Gaz Zameen Ke Neeche,-1972.0,127 min,Horror,6.1,88,Tulsi Ramsay,Surendra Kumar,Pooja,Imtiaz
Do Jasoos,-1975.0,135 min,"Comedy, Mystery",6.1,100,Naresh Kumar,Raj Kapoor,Rajendra Kumar,Shailendra Singh
Do Kaliyaan,-1968.0,160 min,"Drama, Family, Musical",6.5,71,R. Krishnan,S. Panju,Mala Sinha,Biswajit Chatterjee
Do Knot Disturb,-2009.0,126 min,"Comedy, Drama",3.6,"1,130",David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh
Do Lafzon Ki Kahani,-2016.0,128 min,"Action, Drama, Romance",6.5,"1,411",Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
Do Musafir,-1978.0,147 min,"Drama, Family, Romance",7.1,22,Devendra Goel,Shashi Kapoor,Rekha,Ashok Kumar
Do Nambar Ke Amir,-1974.0,136 min,"Crime, Drama",7.2,5,P.D. Shenoy,Asha Sachdev,Sajid Khan,A.K. Hangal
Do Numbri,-1998.0,139 min,Action,3.8,24,T.L.V. Prasad,Mithun Chakraborty,Sneha,Sadashiv Amrapurkar
Do Phool,-1958.0,161 min,"Drama, Family",6.0,7,Abdul Rashid Kardar,Kumari Naaz,Master Romi,Vijaya Choudhury
Do Phool,-1974.0,140 min,"Action, Comedy, Drama",6.7,59,S. Ramanathan,Ashok Kumar,Vinod Mehra,Aruna Irani
Do Premee,-1980.0,135 min,"Action, Thriller",5.7,54,Raj Khosla,Rishi Kapoor,Moushumi Chatterjee,Om Prakash
Do Qaidi,-1989.0,158 min,"Action, Thriller",4.4,104,Ajay Kashyap,Sanjay Dutt,Govinda,Farha Naaz
Do Raaste,-1969.0,165 min,"Drama, Romance",7.0,273,Raj Khosla,Rajesh Khanna,Mumtaz,Balraj Sahni
Do Raha,-1971.0,130 min,Drama,6.3,9,Feroz Chinoy,Anil Dhawan,Radha Saluja,Roopesh Kumar
Do Sholay,-1977.0,145 min,Action,3.3,6,Sukhdev Ahluwalia,C.S. Aasie,Lata Arora,Billa
Do Ustad,-1959.0,139 min,"Action, Crime, Drama",7.1,69,Tara Harish,Raj Kapoor,Madhubala,Sulochana Latkar
Do Waqt Ki Roti,-1988.0,110 min,Action,6.4,24,Satpal,Feroz Khan,Sanjeev Kumar,Reena Roy
DOA: Death of Amar,-2014.0,90 min,Thriller,7.1,29,Param Gill,Steven a Dsouza,Zareen Khan,Rajeev Khandelwal
Dobaara: See Your Evil,-2017.0,106 min,"Horror, Mystery",3.7,325,Prawaal Raman,Adil Hussain,Huma Qureshi,Madalina Bellariu Ion
Dobara,-2004.0,135 min,"Musical, Drama",3.2,129,Shashi Ranjan,Jackie Shroff,Raveena Tandon,Mahima Chaudhry
Doctor,-1940.0,144 min,Drama,6.5,6,Phani Majumdar,Subodh Mitra,Pankaj Mullick,Ahindra Choudhury
Doli,-1969.0,156 min,"Drama, Romance",7.2,59,Adurthi Subba Rao,Rajesh Khanna,Babita Kapoor,Prem Chopra
Doli Saja Ke Rakhna,-1998.0,170 min,"Drama, Romance",6.4,505,Priyadarshan,Akshaye Khanna,Jyotika,Anupam Kher
Dolly Ki Doli,-2015.0,98 min,"Comedy, Romance",4.5,"2,880",Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub
Dolly Kitty and Those Twinkling Stars,-2019.0,126 min,"Comedy, Drama",5.4,"4,755",Alankrita Shrivastava,Konkona Sen Sharma,Bhumi Pednekar,Amol Parashar
Dombivli Return,-2019.0,129 min,"Drama, Thriller",4.9,46,Mahendra Teredesai,Sandeep Kulkarni,Rajeshwari Sachdev,Amol Parashar
Don,-2006.0,171 min,"Action, Crime, Thriller",7.2,"35,121",Farhan Akhtar,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal
Don,-1978.0,166 min,"Action, Crime, Thriller",7.8,"11,591",Chandra Barot,Amitabh Bachchan,Zeenat Aman,Pran
Don 2,-2011.0,148 min,"Action, Crime, Thriller",7.1,"50,435",Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri
Don Muthu Swami,-2008.0,112 min,"Comedy, Drama",4.7,60,Ashim S. Samanta,Mithun Chakraborty,Ali Asgar,Arun Bakshi
Dongri Ka Raja,-2016.0,139 min,"Action, Drama, Musical",3.9,155,Hadi Abrar,Ronit Roy,Ashmit Patel,Gashmeer Mahajani
Doodh Aur Apheem,-2006.0,83 min,"Adventure, Drama, Music",6.7,17,Joel Palombo,Swaroop Khan,Nizam Khan,Mohamad Khan
Doodh Ka Karz,-1990.0,168 min,"Action, Drama, Fantasy",4.6,118,Ashok Gaekwad,Jackie Shroff,Neelam Kothari,Prem Chopra
Door Bell,-2017.0,99 min,Drama,4.0,7,Agrawal Mukesh Narayan,Shubhra Ghosh,Nataliya Kozhenova,Nishant Kumar
Door Gagan Ki Chhaon Men,-1964.0,153 min,"Drama, Musical",8.2,53,Kishore Kumar,Kishore Kumar,Supriya Choudhury,Amit Kumar
Door Ka Raahi,-1971.0,138 min,Drama,7.7,47,Kishore Kumar,Kishore Kumar,Ashok Kumar,Tanuja
Door Ki Awaaz,-1964.0,135 min,Romance,6.0,33,Devendra Goel,Joy Mukherjee,Saira Banu,Pran
Doordarshan,-2020.0,119 min,"Comedy, Drama",6.2,"1,336",Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
Doosara Aadmi,-1977.0,137 min,"Drama, Family, Romance",7.0,168,Ramesh Talwar,Shashi Kapoor,Rishi Kapoor,Neetu Singh
Doosri Dulhan,-1983.0,153 min,"Drama, Family",6.9,15,Lekh Tandon,Victor Banerjee,Sharmila Tagore,Shabana Azmi
Dor,-2006.0,147 min,Drama,7.9,"5,785",Nagesh Kukunoor,Ayesha Takia,Shreyas Talpade,Gul Panag
Dosh,-2007.0,141 min,"Crime, Drama, Mystery",5.3,13,Pappu Palviendra,Sadashiv Amrapurkar,Kulbir Badesron,Pinky Chinoy
Dost,-1974.0,164 min,Drama,7.0,222,Dulal Guha,Dharmendra,Hema Malini,Shatrughan Sinha
Dost,-1989.0,162 min,Action,5.2,36,K. Muralimohana Rao,Mithun Chakraborty,Amala Akkineni,Vikas Anand
Dosti,-1964.0,163 min,"Drama, Family, Musical",8.4,"1,552",Satyen Bose,Sudhir Kumar,Sushil Kumar,Sanjay Khan
Dosti Dushmani,-1986.0,152 min,"Action, Drama",5.7,71,Rama Rao Tatineni,Asrani,Bhanupriya,Poonam Dhillon
Dosti Ke Side Effects,-2019.0,130 min,Drama,3.3,46,Hadi ali Abar,Muntazir Ahmad,Vikrant Anand,Sai Ballal
Dosti: Friends Forever,-2005.0,136 min,"Drama, Romance",5.5,"2,462",Suneel Darshan,Akshay Kumar,Bobby Deol,Kareena Kapoor
Double Cross: Ek Dhoka,-2005.0,104 min,Comedy,4.2,44,Vicky Tejwani,Ayesha Jhulka,Negar Khan,Sahil Khan
Double Dhamaal,-2011.0,138 min,"Comedy, Crime, Drama",3.8,"3,642",Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
Downup the Exit 796,-2018.0,102 min,Thriller,8.2,37,Jaimin Bal,Rajesh Desai,Ruchika Dhankhar,Aniket Dhawalshankh
Dozakh in Search of Heaven,-2015.0,92 min,Drama,7.0,62,Zaigham Imam,Garrick Chaudhary,Roobie,Lalit Mohan Tiwari
Dr. Cabbie,-2014.0,101 min,Comedy,6.0,"2,860",Jean-Fran�ois Pouliot,Vinay Virmani,Adrianne Palicki,Kunal Nayyar
Dr. Kotnis Ki Amar Kahani,-1947.0,124 min,"Biography, Drama, War",6.8,77,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Jayashree,Keshavrao Date
Dracula,-1999.0,92 min,Horror,3.8,18,Bhooshan Lal,Priya Rao,Kiran Kumar,Mohan Joshi
Dracula 2012,-2013.0,137 min,Horror,1.9,128,Vinayan,Thilakan,Shraddha Das,Monal Gajjar
Draupadi,-1931.0,124 min,Drama,5.3,6,Bhagwati Prasad Mishra,Khalil,Ermeline,Jillo
Dreadlocks Story,-2014.0,83 min,"Documentary, History",8.1,8,Linda A�nouche,Atma,David Hinds,Bill 'Blade' Howell
Dream Girl,-2019.0,132 min,"Comedy, Romance",7.0,"12,276",Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor
Dreams... Do Come True,-2009.0,110 min,"Drama, Music, Musical",6.2,12,Aashish Chanana,Manoj Bidwai,Aashish Chanana,Ashish Chanana
Dreamz: The Movie,-2013.0,120 min,Drama,5.2,15,Sumana Mukherjee,Serena Lorien,Melissa Biggs,Aiden Angeli
Drishti,-1990.0,171 min,Drama,7.1,84,Govind Nihalani,Dimple Kapadia,Shekhar Kapur,Mita Vashisht
Drishyam,-2015.0,163 min,"Crime, Drama, Mystery",8.2,"74,326",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
Drive,-2019.0,147 min,"Action, Crime, Thriller",3.5,"6,418",Tarun Mansukhani,Sushant Singh Rajput,Jacqueline Fernandez,Vikramjeet Virk
Droh Kaal,-1994.0,162 min,"Drama, Thriller",7.6,390,Govind Nihalani,Om Puri,Naseeruddin Shah,Mita Vashisht
Drohi,-1992.0,130 min,"Action, Crime, Romance",5.9,135,Gurdip Singh,Ram Gopal Varma,Nagarjuna Akkineni,Urmila Matondkar
Dudes in the 10th Century,-2003.0,130 min,Comedy,4.6,850,Imtiaz Punjabi,Paresh Rawal,Iqbal Khan,Anuj Sawhney
Duet,-1994.0,156 min,"Musical, Romance",6.5,276,K. Balachander,Prabhu,Ramesh Aravind,Meenakshi Sheshadri
Dulaara,-2015.0,160 min,Drama,5.2,13,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh
Dulari,-1949.0,133 min,"Musical, Romance",6.5,31,Abdul Rashid Kardar,Suresh,Shyam Kumar,Madhubala
Dulha Dulhan,-1964.0,141 min,"Comedy, Drama, Family",7.1,90,Ravindra Dave,Raj Kapoor,Sadhana,Agha
Dulha Mil Gaya,-2010.0,152 min,"Comedy, Drama, Romance",4.2,"2,487",Mudassar Aziz,Sushmita Sen,Fardeen Khan,Ishita Sharma
Dulhan Chahi Pakistan Se,-2016.0,159 min,"Action, Drama, Family",5.1,19,Rajkumar R. Pandey,Pradeep Pandey,Mukesh Rishi,Subhi Sharma
Dulhan Ek Raat Ki,-1967.0,170 min,"Crime, Drama, Music",6.7,40,D.D. Kashyap,Dharmendra,Nutan,Johnny Walker
Dulhan Hum Le Jayenge,-2000.0,158 min,"Comedy, Drama, Romance",5.1,"3,238",David Dhawan,Salman Khan,Karisma Kapoor,Om Puri
Dulhan Wahi Jo Piya Man Bhaaye,-1977.0,165 min,"Musical, Drama, Family",7.9,62,Lekh Tandon,Rameshwari,Prem Krishan,Madan Puri
Dulhe Raja,-1998.0,143 min,Comedy,6.6,"2,610",Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Dum,-2003.0,166 min,"Action, Crime, Drama",5.6,"1,597",Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni
Dum Laga Ke Haisha,-2015.0,110 min,"Comedy, Drama, Romance",7.5,"18,540",Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Dum Maaro Dum,-2011.0,128 min,"Action, Crime, Drama",6.2,"3,860",Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu
Duniya,-1984.0,169 min,"Action, Drama",7.0,192,Ramesh Talwar,Ashok Kumar,Dilip Kumar,Rishi Kapoor
Duniya Meri Jeb Mein,-1979.0,139 min,"Action, Thriller",7.0,78,Tinnu Anand,Shashi Kapoor,Rishi Kapoor,Neetu Singh
Duniya Na Mane,-1937.0,166 min,Drama,6.9,31,Shantaram Rajaram Vankudre,Shanta Apte,Keshavrao Date,Vimala Vasishta
Dunno Y 2... Life Is a Moment,-2015.0,95 min,"Drama, Romance",6.3,33,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma
Dunno Y Na Jaane Kyun...,-2010.0,137 min,"Drama, Romance",3.7,143,Sanjay Sharma,Zeenat Aman,Kabir Bedi,Hazel Croney
Duplicate,-1998.0,164 min,"Action, Comedy, Crime",5.6,"7,174",Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre
Duplicate Sholay,-2002.0,147 min,Comedy,6.5,50,Kanti Shah,Sapna Sappu,Amit Pachori,Dimple
Durdesh,-1983.0,143 min,"Action, Crime, Drama",6.2,33,Ambrish Sangal,Shashi Kapoor,Sharmila Tagore,Parveen Babi
Durga,-2002.0,116 min,Drama,4.6,17,J.D. Chakravarthi,J.D. Chakravarthi,Snehal Dabi,Jayaprakash
Durgamati: The Myth,-2020.0,155 min,"Horror, Thriller",3.8,"4,976",Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi
Dus Kahaniyaan,-2007.0,110 min,Drama,5.7,"1,556",Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta
Dus Lakh,-1966.0,162 min,"Comedy, Drama, Musical",6.6,44,Devendra Goel,Om Prakash,Sanjay Khan,Babita Kapoor
Dus Numbri,-1976.0,155 min,"Action, Comedy, Drama",5.6,104,Madan Mohla,Manoj Kumar,Hema Malini,Prem Nath
Dus Tola,-2010.0,120 min,"Comedy, Drama",6.9,301,Ajoy Varma,Manoj Bajpayee,Aarti Chhabria,Pallavi Sharda
Dushman,-1998.0,145 min,"Crime, Drama, Thriller",6.9,"1,841",Tanuja Chandra,Kajol,Sanjay Dutt,Ashutosh Rana
Dushman,-1990.0,146 min,"Action, Drama",5.4,38,Shakti Samanta,Mithun Chakraborty,Mandakini,Sadashiv Amrapurkar
Dushman,-1957.0,138 min,Drama,7.1,17,Raj Rishi,Dev Anand,Usha Kiran,Prabhu Dayal
Dushman Duniya Ka,-1996.0,153 min,Drama,4.0,652,Mehmood,Tabrez Hashmi,Laila,Mehmood
Dushman Zamana,-1992.0,129 min,"Action, Romance",5.0,25,Jagdish A. Sharma,Arman Kohli,Divya Bharti,Gulshan Grover
Dushmani: A Violent Love Story,-1995.0,156 min,"Action, Drama, Romance",4.9,213,Sanjay Khanna,Karan Razdan,Bunty Soorma,Sunny Deol
Dushmun,-1971.0,177 min,Drama,7.1,200,Dulal Guha,Meena Kumari,Rajesh Khanna,Mumtaz
Duvidha,-1973.0,82 min,"Drama, Fantasy, Romance",7.0,577,Mani Kaul,Hardan,Manohar Lalas,Ravi Menon
Dvandva,-2009.0,51 min,"Crime, Drama, Mystery",6.1,15,Chhatrapal Ninawe,Satyakam Anand,Charudatta Bhagwat,Chetan Dhanani
Earth,-1998.0,110 min,"Drama, Romance, War",7.7,"7,523",Deepa Mehta,Aamir Khan,Nandita Das,Rahul Khanna
Ebn-e-Batuta,-2014.0,125 min,Sci-Fi,4.3,27,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar
Edegarike,-2012.0,105 min,"Crime, Drama",7.4,199,D. Sumana Kittur,Aditya,Atul Kulkarni,Akanksha
Eduruleni Manishi,-2001.0,138 min,"Comedy, Drama",4.5,126,Srinivasa Rao Jonnalagadda,J. Sreeniwas Rao,Nagarjuna Akkineni,Soundarya
Eeb Allay Ooo!,-2019.0,98 min,"Comedy, Drama",7.4,"1,247",Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha
Eena Meena Deeka,-1994.0,133 min,"Action, Comedy, Crime",4.7,325,David Dhawan,Vinod Khanna,Rishi Kapoor,Juhi Chawla
Eeshwar,-1989.0,147 min,"Drama, Musical, Family",7.2,455,K. Viswanath,Rajesh Malik,Anil Kapoor,Vijayshanti
Ehsaas: The Feeling,-2001.0,116 min,"Drama, Romance",5.6,95,Mahesh Manjrekar,Sunil Shetty,Shabana Raza,Kirron Kher
Eiga Doraemon: Nobita no getsumen tansaki,-2019.0,111 min,"Animation, Action, Adventure",6.8,556,Jeong-beom Lee,Shinnosuke Yakuwa,Wasabi Mizuta,Sang Hyun Uhm
Eight Days,-1946.0,141 min,"Comedy, Drama",6.5,8,D.N. Pai,Ashok Kumar,Ashok Kumar,Veera
Ek Aasha,-2018.0,123 min,Drama,7.8,10,Mayur Katariya,Disha Yadav,Annu Akade,Vijya Laxmi
Ek Adhuri Kahani,-1972.0,115 min,Drama,7.7,10,Mrinal Sen,Utpal Dutt,Shekhar Chatterjee,Vivek Chatterjee
Ek Ajnabee,-2005.0,142 min,"Action, Crime, Drama",5.2,"1,601",Apoorva Lakhia,Amitabh Bachchan,Arjun Rampal,Perizaad Zorabian
Ek Ajooba,-2000.0,71 min,Family,5.7,16,Sunil Advani,Meghna Erande,Harsh Lunia,Amrish Puri
Ek Alag Mausam,-2003.0,120 min,Drama,6.7,46,K.P. Sasi,Nandita Das,Rajit Kapoor,Anupam Kher
Ek Aur Ek Gyarah,-1981.0,153 min,"Action, Thriller",6.3,47,Ashok Roy,Shashi Kapoor,Vinod Khanna,Neetu Singh
Ek Aur Sikander,-1986.0,139 min,"Action, Drama",6.6,18,Bhaskar Shetty,Mithun Chakraborty,Anita Raj,Rakesh Roshan
Ek Baap Chhe Bete,-1978.0,132 min,"Comedy, Drama",5.5,8,Mehmood,Mehmood,Moushumi Chatterjee,Tracy Ali
Ek Baar Chale Aao,-1983.0,137 min,Drama,6.7,13,Jagdish Sidana,Asrani,Bharat Bhushan,Jankidas
